,title,mean,rank,popularity,num_list_users,num_scoring_users,status,num_chapters,ranking.rank,rating,members,genres0
263,Detroit Metal City,8.06,587.0,1119,13093,5187,finished,114,587,8.26,104893,Comedy
264,Saiyuuki Reload Blast,8.06,590.0,4108,3687,605,currently_publishing,0,590,,1286,Action
265,Aoharu x Kikanjuu,8.06,591.0,1023,14118,3818,finished,84,591,7.29,97674,Action
269,Saenai Heroine no Sodatekata,7.42,3070.0,2265,6777,1645,finished,42,3070,7.69,155795,Romance
270,Full Moon wo Sagashite,8.05,607.0,400,33492,17548,finished,35,607,8.08,59374,Comedy
271,Tekkon Kinkreet,8.05,608.0,1341,11307,3052,finished,33,608,8.11,46018,Action
273,Gokinjo Monogatari,8.04,617.0,1698,8861,3115,finished,33,617,7.56,7279,Romance
276,Soredemo Machi wa Mawatteiru,8.04,620.0,2417,6366,1598,finished,130,620,7.48,31906,Comedy
278,Sakurasou no Pet na Kanojo,7.86,989.0,1410,10724,2170,finished,49,989,8.4,380375,Ecchi
279,Tokyo Babylon,8.03,635.0,815,17238,6700,finished,18,635,6.82,11730,Drama
280,Saiyuuki,8.03,636.0,908,15619,6080,finished,56,636,6.62,1175,Action
281,Hidamari Sketch,8.03,639.0,2632,5871,1505,currently_publishing,0,639,7.51,42998,Comedy
282,Seitokai Yakuindomo,8.03,642.0,670,20446,5395,finished,0,642,7.71,217617,Comedy
283,Bokura ga Ita,8.02,647.0,283,43832,16164,finished,70,647,7.54,125051,Romance
284,Devilman,8.02,648.0,314,40895,18065,finished,53,648,6.55,5532,Action
285,Hori-san to Miyamura-kun,8.02,653.0,1183,12575,2687,finished,149,653,7.43,26535,Comedy
286,Senyuu.,8.02,654.0,3221,4792,1352,finished,32,654,7.49,56815,Adventure
288,Karneval,8.01,667.0,413,32510,8644,finished,163,667,7.25,11320,Action
289,Shinrei Tantei Yakumo,8.01,670.0,789,17723,4672,finished,65,670,7.47,78952,Romance
291,Kobayashi-san Chi no Maid Dragon,8.0,673.0,364,36485,11307,currently_publishing,0,673,,5765,Fantasy
292,Yowamushi Pedal,8.0,681.0,1189,12498,4015,currently_publishing,0,681,8.16,91138,Sports
293,Nijiiro Days,8.0,683.0,385,34790,11493,finished,80,683,7.52,57920,Comedy
294,Kekkaishi,8.0,686.0,482,27281,12642,finished,345,686,7.73,61884,Action
295,Deadman Wonderland,8.0,691.0,28,180308,86808,finished,58,691,7.48,453454,Action
297,Sasameki Koto,8.0,692.0,706,19545,7248,finished,55,692,7.21,34297,Comedy
298,Giant Killing,8.0,695.0,1478,10193,3406,currently_publishing,0,695,7.71,36947,Sports
299,D-Frag!,8.0,696.0,490,26958,8062,currently_publishing,0,696,7.75,154548,Romance
300,Candy Candy,7.99,698.0,4112,3683,1446,finished,44,698,7.58,11893,Drama
301,Shiki,7.99,700.0,788,17743,5495,finished,42,700,7.99,251093,Supernatural
302,Nurarihyon no Mago,7.99,702.0,343,38589,16992,finished,218,702,7.78,122976,Action
305,Soredemo Sekai wa Utsukushii,7.98,714.0,619,21907,6530,finished,150,714,7.8,99462,Adventure
307,Jitsu wa Watashi wa,7.98,716.0,333,39535,13693,finished,196,716,7.15,88500,Fantasy
308,Ranma ½,7.98,718.0,285,43654,22430,finished,407,718,7.87,105212,Action
309,School Rumble,7.98,719.0,489,27017,12747,finished,345,719,8.06,178553,Romance
310,Yamato Nadeshiko Shichihenge♥,7.98,720.0,535,25023,10316,finished,148,720,7.89,92088,Romance
312,Tenshi Nanka ja Nai,7.98,724.0,2872,5412,2104,finished,40,724,6.38,2027,Romance
313,Hana yori Dango,7.97,737.0,589,22961,10614,finished,244,737,7.9,28341,Romance
314,Dragon Quest: Dai no Daibouken,7.96,743.0,1508,9971,5313,finished,349,743,7.79,8999,Action
315,Tengen Toppa Gurren Lagann,7.96,744.0,1251,12036,4039,finished,65,744,8.78,562962,Action
316,Nabari no Ou,7.96,745.0,660,20716,6638,finished,72,745,7.44,107384,Action
319,Rakudai Kishi no Cavalry,7.47,2682.0,530,25229,9104,finished,47,2682,7.78,188685,Action
320,Mahou Sensei Negima!,7.95,769.0,162,68884,33835,finished,355,769,7.11,76253,Action
321,Kobato.,7.95,770.0,724,19203,8263,finished,40,770,8.09,88986,Adventure
322,Hatenkou Yuugi,7.95,772.0,2353,6545,1613,currently_publishing,0,772,7.3,25885,Action
324,Code Geass: Hangyaku no Lelouch,7.61,1890.0,812,17312,6835,finished,40,1890,8.83,715151,Action
325,Nozoki Ana,7.95,783.0,129,81730,45223,finished,117,783,6.63,21200,Drama
327,Saishuu Heiki Kanojo,7.94,792.0,995,14390,4623,finished,72,792,7.31,58051,Drama
328,Uragiri wa Boku no Namae wo Shitteiru,7.94,793.0,1388,10870,3059,finished,68,793,7.43,55040,Adventure
329,Bartender,7.94,795.0,1003,14288,5026,finished,167,795,7.5,44394,Drama
330,Hakkenden: Touhou Hakken Ibun,7.94,797.0,3822,3974,687,currently_publishing,0,797,7.57,61017,Action
331,Hetalia Axis Powers,7.94,798.0,642,21168,8674,finished,0,798,7.76,144898,Comedy
332,Zetsuen no Tempest,7.94,799.0,708,19530,6345,finished,50,799,8.17,259900,Action
334,Ajin,7.94,812.0,95,97596,31857,finished,84,812,7.78,160972,Action
335,Hoshi no Koe,7.93,823.0,657,20781,8692,finished,10,823,7.53,85492,Romance
336,Ichigo Mashimaro,7.93,824.0,2316,6641,1828,currently_publishing,0,824,7.77,46333,Comedy
337,Special A,7.93,827.0,342,38618,17859,finished,104,827,7.78,173603,Romance
338,07-Ghost,7.93,828.0,426,31288,13029,finished,100,828,7.41,126083,Action
339,Crayon Shin-chan,7.93,831.0,3352,4582,2142,finished,1126,831,7.73,26267,Comedy
340,Kimi no Iru Machi,7.93,832.0,167,65916,31779,finished,270,832,7.17,63418,Ecchi
342,Baka to Test to Shoukanjuu,7.42,3094.0,2090,7325,1983,finished,84,3094,7.83,301282,Comedy
343,Ao no Exorcist,7.93,834.0,52,138796,54085,currently_publishing,0,834,7.92,583823,Action
345,Sousei no Onmyouji,7.92,846.0,320,40359,13431,currently_publishing,0,846,7.11,128869,Action
346,Aishiteruze Baby★★,7.92,849.0,646,21081,11396,finished,33,849,7.58,63959,Romance
347,Tenshi Kinryouku,7.92,850.0,578,23396,9571,finished,120,850,6.46,36352,Fantasy
348,Suzuka,7.91,857.0,273,45141,22642,finished,171,857,7.35,64161,Ecchi
350,Vampire Hunter D,7.48,2634.0,3228,4776,1331,finished,0,2634,7.26,42377,Action
352,Shakugan no Shana,7.61,1884.0,1590,9414,3363,finished,71,1884,7.74,297058,Action
354,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,7.69,1571.0,3013,5150,1454,currently_publishing,0,1571,,12406,Action
355,Inu x Boku SS,7.9,895.0,409,32864,10655,finished,58,895,7.69,216204,Supernatural
356,Elfen Lied,7.89,904.0,113,87280,45996,finished,113,904,7.85,623511,Action
357,Clannad,7.89,905.0,1476,10206,3166,finished,45,905,8.3,566690,Romance
359,Saint☆Oniisan,7.89,909.0,581,23313,5248,currently_publishing,0,909,7.64,33668,Comedy
361,Mahou Shoujo Ikusei Keikaku,6.79,9939.0,7744,1749,504,finished,11,9939,7.17,46024,Action
